"","Year","Growth.O","Popultion.O","GDP.O","X..1.90.O","Malnourished.O","Maternal.Mortality.O","Suicide.Mortality.O","Life.Expectancy.O","X..Male.O","X..Rural.O","Death.Rate.O","Birth.Rate.O","Natural.Increase.O","X..Crop.Production.O","Education.Budget.O","Homicide.O","Avg.Pop.p100k"
"DEU",2011.89795918367,0.0107020317210884,82211524.5442177,6.15858416478422e-21,23.52332172916,3044.03040877368,5.88729066546533,13.1074619598009,80.1078132270751,0.491056363530612,0.232288639455782,1079.4342945206,884.815521851065,-180.204081632653,0.943023648512195,0.105824297256079,1.0462721516729,0.445801399636364
"GBR",2012.09090909091,0.0149784951439394,63704068.9242424,1.03274997348546e-20,244.096332055439,3044.03040877368,8.96927612679727,8.18291857200824,80.3682145484639,0.491780359,0.181764166666667,932.120472880222,1182.76247712496,233.181818181818,0.956138817265169,0.130576778167873,1.18494694692042,0.351571036545455
"FRA",2012.36585365854,0.0128828183821138,65402495.6422764,8.82842643877065e-21,44.6212333522927,3044.03040877368,8.58847819650737,16.5176160770455,81.7040010569281,0.484321630609756,0.209978699186992,886.117515487852,1213.39538840594,313.170731707317,0.986662273735946,0.0968303088772797,1.41648632460572,0.275712860636364
"ITA",2012.6524822695,0.00150864115602837,59276118.9716312,9.25401153903592e-21,1273.10058236159,3044.03040877368,2.18084004113379,7.02616081334051,82.1872008504472,0.485386489489362,0.307249219858156,1038.02372928626,836.541013575507,-176.312056737589,1.02579691685586,0.0854520407257019,0.810518152750275,0.383979693
"ESP",2013.01333333333,0.00945671744,45957839.06,1.32177745245121e-20,857.952201156302,3044.03040877368,4.15396800419298,7.89247064672225,82.2609382756044,0.492155044926667,0.208478,883.812382611963,919.017804853991,38.8,1.00771325610179,0.10116722384341,0.809690441873839,0.572812376954545
"NLD",2011.29032258065,0.0138699679462366,16743253.5591398,1.69188685546534e-19,84.7002002610635,3044.03040877368,7.77538985545904,10.5876018725123,80.6309979105357,0.496787431462366,0.130270860215054,857.748289689159,1080.8620194194,218.602150537634,0.969255286936527,0.120453866612352,0.835422119027516,0.668800869681818
"CHE",2010.04255319149,0.0178027194468085,7855095.9787234,1.13862703370234e-18,6.17713564017673,3044.03040877368,6.0852498465107,16.8645822561898,82.1044740445849,0.49219899793617,0.26387170212766,814.409914238963,1008.75123629165,186.170212765957,1.02736553250616,0.154901824907501,0.725258741896667,0.351233980863636
"SWE",2011.60273972603,0.0230198034657534,9587731.80821918,5.50647039438856e-19,444.292604827057,3044.03040877368,4.65128714667712,14.9801138670407,81.602543802625,0.498393137054794,0.1415,959.837128819465,1149.45784223476,175.068493150685,0.901917610999067,0.142179975123394,1.02512187093803,0.413010026227273
"BEL",2011.24761904762,0.0162341545238095,10970778.6857143,3.4725199349319e-19,143.524863692365,3044.03040877368,6.16374745872361,19.8315815746551,80.2259705001135,0.4918939972,0.0230807619047619,979.671783340425,1110.7436772768,128.47619047619,0.964395037165581,0.119296118543218,2.63655306967337,0.781369535954546
"AUT",2010.32203389831,0.0146701153220339,8444641.37288136,6.02636206217326e-19,415.870986694988,3044.03040877368,5.23017016203178,16.5618803515562,80.3782419670225,0.488327845389831,0.415414237288136,936.063026642321,953.570088618986,17.1186440677966,1.01666449045332,0.106599464898948,0.764376075478036,0.354819848727273
"POL",2009.41197183099,0.0363037751619718,38091992.3133803,7.45236821344308e-21,571.411879968384,3044.03040877368,3.60068798761297,16.5952296319136,75.9582384187092,0.484378109140845,0.390448908450704,1005.78220967557,994.142520501681,-9.22535211267605,0.953808341853497,0.115667941294422,1.20645778038906,13.7055432381818
"DNK",2011.36,0.01555688598,5597372.06,1.73493149820513e-18,193.90640337477,3044.03040877368,5.29300829886119,12.5518953049292,79.4916249688017,0.4963231826,0.1312336,975.103099632854,1106.50019027989,125.2,0.938516670513671,0.148100205282858,1.03146210790624,0.309995141545455
"GRC",2011.6,0.004486927688,10893783.736,1.79937388089811e-19,779.670904012637,3044.03040877368,13.3988095238095,4.28048812314027,80.4060776054278,0.492407393632,0.23200632,1048.76657744852,911.404760722716,-117.76,0.962228305572799,0.0748390508368304,1.07652576335173,1.72960648695455
"FIN",2010.81818181818,0.0177097146363636,5377863.45454545,1.48087470637465e-18,60.9902370486199,3044.03040877368,3.91513969127867,18.2184089778517,80.2229280570221,0.490977542636364,0.158237575757576,952.302126784008,1030.37291586848,79.6969696969697,0.999794585510477,0.123025987795469,1.9027660081305,0.1658824061
"PRT",2012.08474576271,0.00667361922881356,10399254.0084746,1.90535982455185e-19,384.930341651666,3044.03040877368,8.91377478691628,12.1077337565704,79.8072330477534,0.477037408542373,0.38289,1044.61623634255,914.948546099586,-113.389830508475,0.96663496273976,0.107602388698763,1.01171755300511,1.88381754954545
"IRL",2012.89130434783,0.0686488816086957,4599778.15217391,2.92347854477508e-18,213.4931134435,3044.03040877368,6.00979820490132,10.7875195684375,80.8594943789642,0.496575488065217,0.378952826086957,655.640109409162,1381.47109379163,683.913043478261,0.931925306156742,0.131486807892057,0.907293583080457,0.7513760305
"CZE",2009.37751004016,0.0269611168835341,10404385.2851406,1.52962026121984e-19,14.6591373530398,3044.03040877368,4.79603911568018,15.0134792147383,77.0780445838668,0.489368121618474,0.263805261044177,1048.21449443562,1022.73328057339,-26.8273092369478,0.891498438733478,0.0978506297805543,1.07978808348929,22.1329250649091
"HUN",2010.62237762238,0.0258010776818182,9958925.91258741,1.28335728060641e-19,337.774673336336,3044.03040877368,13.2156249819885,23.215964306868,74.379359235766,0.475086517622378,0.313041993006993,1322.37157884531,948.136241656343,-356.013986013986,0.909863209261766,0.0984261711189327,1.61865103989673,41.9372750477273
"ROU",2009.29514563107,0.0401001692970874,20650066.8757282,1.82536992094436e-20,4633.25879855341,3044.03040877368,30.3237834263826,12.0340410229156,73.2038158625545,0.486986652974757,0.464623514563107,1260.56282530883,1017.2979253109,-232.466019417476,0.940266882273759,0.100704292630738,1.82944667378857,29.6800664078182
"UKR",2012.58248009101,0.0119832610659841,45652695.4937429,1.35541714677858e-21,123.669568039525,2517.70640986657,25.3561021302147,25.5726392760443,70.3966948794871,0.463074739169511,0.312532070534699,1516.1604488034,965.236893861193,-521.729237770193,0.88020107950019,0.132803613084748,6.36638033894689,1688.40755618655
"SVK",2008.48979591837,0.0403981649020408,5394399.49387755,4.83773419306843e-19,331.012056796676,5037.31929654733,6.40708707577609,13.4330746496281,74.9659316899257,0.485333808877551,0.449840979591837,981.300992977034,1029.63504141316,46.2857142857143,0.868191651669958,0.0951178447737908,1.65314642539185,18.8888065731364
"HRV",2009.35135135135,0.0204720776860707,4256389.32848233,6.66999809749422e-19,761.781481285745,3015.81437585431,8.94359309805415,18.1338458189405,76.2060230208614,0.481429871690229,0.448444303534304,1195.00274345004,934.385379319111,-250.010810810811,0.889043367063648,0.0854339099887955,1.35584476614729,2749.35694708845
"SVN",2008.48888888889,0.0278729098888889,2029300.53333333,4.72999058236986e-18,19.1232665591264,3044.03040877368,8.82001391317754,24.8310146015979,78.5066372047459,0.492658463911111,0.476218111111111,946.805270704798,955.974511184877,7.22222222222222,1.0132066822448,0.114079395018739,0.999945619136093,19.7833318568636
"BGR",2009.13970588235,0.0345159548872549,7480944.9754902,1.10523555015249e-19,2237.64531388299,4101.77060594656,12.995855815118,12.7844905817118,73.3476537423453,0.486620752980392,0.280091225490196,1486.81681229719,932.365477818785,-535.759803921569,0.848318599521008,0.111615867385412,2.2916327399688,34.7475989565455
"BLR",2011.54619124797,0.0380712256418152,9532514.2560778,6.04092820898176e-20,384.048475344335,2570.03623991118,6.49901902985517,31.9777748480793,71.6713735028243,0.465925995476499,0.245257277147488,1349.14337738161,1081.78746947666,-262.771474878444,0.985520457096145,0.121531024798355,4.78356699985061,75.5963625347273
"LTU",2009.66055045872,0.0426405527110092,3131897.56422018,1.33945929197089e-18,1373.10343087901,3044.03040877368,11.5717117817237,38.1760864169829,73.173882361412,0.463070115692661,0.329301513761468,1331.5840965782,965.859621376546,-348.532110091743,0.741947546228316,0.13779660542197,7.34044740976779,19.5504012354545
"ISL",2010.25925925926,0.0348794788148148,320502.962962963,5.40940834199584e-16,56.3002242828484,3044.03040877368,4.92561363282942,12.8302377698132,81.8684012912958,0.501943712925926,0.0663044444444444,635.564357498035,1373.37904625427,720.37037037037,0.939793375230209,0.156396362669652,0.651741928663868,3.03951833394737
"LVA",2009.60344827586,0.0373587681465517,2122642.3362069,2.80651382986531e-18,1277.63788526511,2649.99651828481,27.982982721177,24.1287004450137,72.861582944292,0.458704675646552,0.320406637931034,1441.20497825936,996.634032903817,-433.706896551724,0.740993906617874,0.143151921659634,5.16160313319267,45.8844570459545
"SRB",2009.86544342508,0.0368049858287462,7258616.21610601,1.02118989149104e-19,5351.96686407972,3059.94173802496,12.2702264481752,17.2873695845017,74.0194586142039,0.490004324455658,0.452395412844037,1423.14388668719,957.560950216366,-444.249745158002,0.967275687128266,0.0963216357356275,1.6060641001594,5660.18801136768
"EST",2009.09302325581,0.0423046906046512,1344614.25,8.0510728201424e-18,884.229555244693,2746.54152808471,16.0654003704363,21.9759602799781,74.3884772183231,0.466935792406977,0.313316279069767,1239.17739836495,1050.83462403511,-185.058139534884,0.752382419368495,0.136213841565685,5.99597612653694,37.2850808734545
"BIH",2009.53,0.0355947913225,3612592.48375,3.27914063264689e-19,170.818414677188,2581.82152321388,11.7877176511045,10.4439146525135,75.9330232165002,0.49073927624625,0.54547635,955.722520328352,915.897419158733,-30.246125,0.960654161967678,0.114260475877447,1.72207336377987,9013.47730607977
"MLT",2011.375,0.04210998471875,442844.125,1.13926732093149e-16,231.697101795865,3044.03040877368,7.76129792661027,6.30032708852719,80.8652332107439,0.49833343878125,0.0598325,766.998716283327,948.027532461933,174.0625,0.904879775070912,0.146348149920449,1.28381669671246,2.65622838726316
"MKD",2010.3661971831,0.0252263627042254,2052874.51911469,1.02413661627706e-18,6561.10824571861,4020.95618775594,8.91572353769675,9.37325494002503,74.6818301476631,0.500137044826962,0.423181971830986,946.13752643744,1143.17542425677,195.210857549296,0.883807792965677,0.114260475877447,1.79575983831622,469.304040253636
"ALB",2010.60641891892,0.0405709122449324,2935673.17060811,4.48001805367047e-19,668.973438139292,5555.53347712921,18.4248555766606,5.8244419660317,76.677868202174,0.506157718410473,0.473524983108108,692.330045911322,1263.42092357649,555.680743243243,0.818688152248568,0.118304728732655,3.81366641452875,791.857321494
"NOR",2014.6,0.0171523409333333,5140340.62222222,3.04475709311426e-18,212.417289067166,3044.03040877368,2.95158508437422,12.1225215267072,82.0733453856275,0.502724804044444,0.190148222222222,798.6968572568,1115.04457425787,291.777777777778,0.935794548399724,0.161417891014185,0.660685583464955,0.294602005764706
"MNE",2014.31137724551,0.025585373245509,620598.760479042,1.9307866728116e-17,2613.86631670235,2504.6157697556,6.52853864984751,20.8443409885518,76.1420100231889,0.494073678934132,0.344196766467066,1004.34602546875,1206.01533580157,194.131736526946,1.04079527160179,0.114260475877447,2.91464339708098,654.581983415062
"LUX",2019,0.011706479,619456.666666667,3.01427680215804e-16,200,3044.03040877368,13.3988095238095,10.95,82.2252032666667,0.505208999666667,0.08781,710,1016.66666666667,306.666666666667,0.9801499925,0.114260475877447,0.435291363333333,0.807336557333333
