"","PC1","PC2"
"DEU",-1.65811286341618,-4.04878342211091
"GBR",-2.60702780659965,-1.48446265849102
"FRA",-2.43771443505982,-1.98802547053833
"ITA",-1.91508549776715,-3.93884820833544
"ESP",-2.4705029111236,-2.2599460000326
"NLD",-2.2284068234918,-0.167134556009489
"CHE",-1.87074453856046,0.296629852884733
"SWE",-1.78211591863089,0.914411692119759
"BEL",-1.22416104982028,-0.00851827732771768
"AUT",-0.804503372404414,-0.776935621830859
"POL",0.250050801085156,-0.361212873457208
"DNK",-1.61592078848272,0.647177190820297
"GRC",-0.872125536750768,-1.65802566876419
"FIN",-1.16334686949119,-0.0635067395451533
"PRT",-0.20579151203594,-1.37424437871895
"IRL",-2.31295122150814,3.64548331342854
"CZE",0.0684992306724792,-0.0238410405204048
"HUN",2.23493186799579,-1.02677881791986
"ROU",2.842988441674,0.0952859699662689
"UKR",4.478211045336,-2.02244053411977
"SVK",0.942912023118843,1.58604906170831
"HRV",1.80706035029147,-0.834138900541119
"SVN",0.28489562339291,0.161522836060031
"BGR",2.77319069388974,0.0692927926832334
"BLR",2.87199909027153,-0.340715438035779
"LTU",5.13430271244201,0.817373360233003
"ISL",-3.25002005826481,3.29086186062308
"LVA",5.19837384980758,0.488670897301123
"SRB",2.94034831372767,-0.491674018508184
"EST",3.81133237403681,1.22580671921082
"BIH",1.27750259158084,0.180811149632993
"MLT",-1.67978737259638,1.50464608677637
"MKD",0.400918326682044,1.97552384864531
"ALB",-0.433754508857554,4.17875557650134
"NOR",-2.95601701353684,1.1058016379595
"MNE",-0.415825835210689,0.626171515279251
"LUX",-3.41360140239541,0.0589572629731241
